Rank,symbol,name,exchange,industry,market_cap,z_score_rank,m_score_rank,f_score_rank,pe_ratio_rank,forward_pe_rank,forward_growth_rank,pb_ratio_rank,asset_growth_rank,ret_1y_rank,off_max_15_rank,roe_rank,basic_nri_pct_diff_rank,eps_rsd_rank,eps_gr_rank,ss_demand_rank,ss_util_rank,accruals_rank,roa_rank,issuance_rank,noa_rank,profitability_rank,beta_rank
91,POR,Portland General Electric Co,NYSE (USA),Utilities - Regulated,2875,0.440259713,0.927177402,0.840277367,0.425705598,0.358409499,,0.014052432,0.368850097,0.472606362,0.819278833,0.581547582,0.406211334,0.087296843,0.681074227,0.025549237,0.20832734,0.098719139,0.043438468,0.114000097,0.448328759,0.42369581,0.189402274
92,XXIA,Ixia,NAS (USA),Online Media,972,0.379540388,0.574394183,0.089415659,,0.122460472,,0.031705537,0.687612178,0.923002417,0.28784542,0.012243023,,0.365020305,,0.356847561,0.889941657,0.288344788,0.268236194,0.211798748,0.820150273,0.333827359,0.15713238
93,MTDR,Matador Resources Co,NYSE (USA),Oil & Gas - E&P,2028,0.418493145,0.115775174,0.043278172,0.313182076,0.637340549,,0.534981736,0.702370716,0.330805465,0.088954041,0.456585155,0.441182725,0.006424615,,0.351080761,0.801044572,0.702611822,0.451945248,0.071542289,0.855751838,0.091301374,0.089292263
94,THR,Thermon Group Holdings Inc,NYSE (USA),Industrial Products,771,0.144316266,0.064098049,0.561358708,0.03056046,0.059703567,,0.112244703,0.605232651,0.258518641,0.246285021,0.541971337,0.005621363,0.790116472,0.141664893,0.68468413,0.335191405,0.206371887,0.250331814,0.789352937,0.517749784,0.607642152,0.657315732
95,REMY,"Remy International, Inc.",NAS (USA),Autos,708,0.672326444,0.020927545,0.043274659,0.618075811,0.347485814,,0.56321758,0.522820982,0.704529431,0.972919257,0.336637369,,0.403140071,0.452237233,0.333494378,0.086203334,0.151601922,0.13900355,0.491656787,0.168591121,0.239407731,0.552071874
96,VOYA,Voya Financial Inc,NYSE (USA),Asset Management,10302,0.23912849,,0.622536475,0.786026853,0.020044106,,0.249126032,0.550692784,0.302020343,0.06407848,0.501798166,0.065100248,0.460332635,0.039134403,0.579828065,0.263334786,,0.970315623,0.206948059,,,0.934360103
97,LEN,Lennar Corp,NYSE (USA),Homebuilding & Construction,10084,0.057816933,0.861667232,0.262907281,0.580360679,0.332339503,,0.205114651,0.335700704,0.338861571,0.197575057,0.870210422,0.118485969,0.429929096,,0.504633085,0.037336313,0.064461837,0.883870243,0.623015004,0.495789359,0.053456759,0.537770444
98,CATM,Cardtronics Inc,NAS (USA),Business Services,1668,0.046529173,0.889107183,0.861445676,0.739487103,0.06143384,,0.219986443,0.342711884,0.029258563,0.409906445,0.908489118,0.364808532,0.758892606,,0.283947899,0.524797407,0.74815852,0.160280145,0.039233321,0.163168316,0.157415302,0.241657499
99,ITCI,"Intra-Cellular Therapies, Inc.",NAS (USA),Drug Manufacturers,859,0.012189198,,,,0.095922805,,0.563101286,,0.1112024,0.209022396,0.894834031,,0.159711421,,,,0.333803803,0.764075593,0.545874006,,0.500554872,
100,DE,Deere & Co,NYSE (USA),Farm & Construction Machinery,29849,0.123246496,0.751685428,0.084762469,0.789326796,0.376227097,,0.808871802,0.701450783,0.103529742,0.158688278,0.96341907,0.41604052,0.004928069,0.086992353,0.217658827,0.160554616,0.591736868,0.870538952,0.275835757,0.15996764,0.35710063,0.410891089
101,SNI,Scripps Networks Interactive Inc,NYSE (USA),Entertainment,9052,0.656514068,0.48516566,0.21877179,0.176284182,0.558553681,,0.188801154,0.397371194,0.225009839,0.279670397,0.380586816,0.065628977,0.51029417,,0.961994985,0.767117043,0.529867459,0.04241771,0.264282065,0.01991069,0.439719424,0.263109644
102,NWBI,Northwest Bancshares Inc,NAS (USA),Banks,1037,0.396771394,,0.564364032,0.313029922,0.378474761,,0.344633143,0.10289511,0.634283038,0.296976322,0.527689509,0.129414898,0.033906683,0.3491426,0.538224283,0.469646035,,0.355143597,0.700539685,,,0.291712505
103,CAKE,Cheesecake Factory Inc,NAS (USA),Restaurants,2458,0.387509847,0.372821771,0.604041761,0.257418811,0.619735553,,0.291341647,0.14867787,0.026648615,0.121419864,0.763166691,0.352888352,0.588036703,0.113957333,0.446142575,0.518028838,0.426781051,0.68590352,0.374020662,0.583576488,0.132659532,0.093325999
104,BUSE,First Busey Corp,NAS (USA),Banks,570,0.028751004,,0.082699768,0.97502224,0.358177206,,0.738163486,0.435933451,0.322276753,0.524558962,0.625409861,0.629499102,0.1459072,,0.037198418,0.091146136,,0.941125439,0.391147812,,,0.387605427
105,MTD,Mettler-Toledo International Inc,NYSE (USA),Medical Instruments & Equipment,9099,0.363471742,0.684524533,0.8766906,0.553506682,0.255417049,,0.372808644,0.518570751,0.12867265,0.106682551,0.787796472,0.828675052,0.178430802,0.655119418,0.11119581,0.53794316,0.168355115,0.106536504,0.057115032,0.124923924,0.359976351,0.429959663
106,CVCO,Cavco Industries Inc,NAS (USA),Homebuilding & Construction,609,0.106798454,0.066257426,0.200914439,0.778393191,0.87873223,,0.72269779,0.520462874,0.255156178,0.651232859,0.046725575,0.745833972,0.165067606,,0.18465407,0.196581034,0.645243842,0.402772296,0.816467441,0.154758985,0.057284636,0.453061973
107,BLKB,Blackbaud Inc,NAS (USA),Application Software,2318,0.704341735,0.836789846,0.701811977,0.900815394,0.800596761,,0.870974673,0.332716286,0.146608141,0.034809949,0.071964005,0.530831231,0.227373875,0.231747627,0.986301004,0.287063416,0.014166269,0.151524348,0.326184577,0.051161813,0.035817047,0.313531353
108,POST,Post Holdings Inc,NYSE (USA),Consumer Packaged Goods,2508,0.572626593,0.162062708,0.413989256,,0.407512317,,0.353148107,0.951122467,0.686510425,0.397228823,0.748856572,,0.257430282,,0.247602175,0.271514442,0.106602834,0.393679928,0.112554944,0.354752636,0.284515973,0.1703337
109,PRGS,Progress Software Corporation,NAS (USA),Application Software,1302,0.342120512,0.510290418,0.198260114,0.361682058,0.704058546,,0.887157007,0.101630547,0.285210325,0.305460241,0.686512224,,0.030704285,0.223302174,0.686515932,0.735548379,0.308944052,0.13775687,0.051377622,0.163089617,0.109669596,0.809314265
110,TPX,Tempur Sealy International Inc,NYSE (USA),Manufacturing - Apparel & Furniture,3526,0.276359172,0.043868836,0.249174174,0.461282222,0.04414866,,0.127208728,0.256405244,0.785807565,0.085003679,0.6104977,0.080067165,0.192255582,0.899520537,0.437097041,0.502673886,0.583765238,0.472878791,0.6092499,0.126399389,0.541434793,0.739090576
111,FICO,Fair Isaac Corp,NYSE (USA),Application Software,2896,0.341911275,0.05173313,0.31191406,0.75402542,0.49258622,,0.158313415,0.381318176,0.226700035,0.66352253,0.386177477,0.478164515,0.176477886,0.992510659,0.265517517,0.504671552,0.242491834,0.140249698,0.383558458,0.551232169,0.166730415,0.752475248
112,SAPE,Sapient Corp,NAS (USA),Application Software,3499,0.654636656,0.288025883,0.586635161,0.386254198,0.191589151,,0.27748317,0.048696936,0.236599465,0.879004336,0.898378338,0.047398726,0.508623727,0.29353752,,0.428197824,0.452323617,0.181702282,0.260280311,0.563352507,0.107958771,
113,FUEL,Rocket Fuel Inc,NAS (USA),Advertising & Marketing Services,377,0.242035432,,,,0.394038193,,0.042146606,0.494256035,0.641792278,0.954664901,0.541512992,,0.402129936,,0.402681999,0.378420192,0.304079898,0.22948734,0.333152146,0.178890875,0.226214746,
114,OPK,Opko Health Inc,NYSE (USA),Biotechnology,6517,0.119934125,0.182966936,0.885894627,,0.74993957,,0.153415916,0.301531983,0.366908232,0.090389127,0.577293848,,0.41345326,,0.322849991,0.574337167,0.339059829,0.815974181,0.233149437,0.060272252,0.536481438,0.204987165
115,NWN,Northwest Natural Gas,NYSE (USA),Utilities - Regulated,1317,0.283872772,,0.899750179,0.667007215,0.596996862,,0.527481617,0.958546245,0.542366071,0.487323154,0.240947247,0.080953755,0.041025124,0.383179207,0.94349507,0.10594809,0.397471884,0.248584212,0.133234392,0.214007507,0.097098304,0.13953062
116,LO,Lorillard Inc,NYSE (USA),Tobacco Products,25563,0.445639562,0.205711957,0.293242841,0.114800188,0.492513797,,,0.536261757,0.357343759,0.34875003,,0.60020633,0.154144718,0.056337891,0.958288777,0.093858945,0.321145591,0.500839779,0.752245076,0.182292591,0.465914228,0.174000733
117,HON,Honeywell International Inc,NYSE (USA),Industrial Products,79210,0.313178723,0.063245818,0.105618972,0.794079448,0.502548389,,0.592072831,0.030736811,0.730486327,0.020291185,0.327377816,0.223836216,0.361950536,0.197318269,0.670437361,0.778882518,0.528359127,0.696830352,0.359445525,0.070293275,0.779796178,0.36156949
118,AMRE,AmReit Inc,NYSE (USA),REITs,523,0.408672294,0.116330154,0.315004497,0.055922833,0.433999665,,0.312546253,0.039232414,,,0.51828044,0.660704808,0.462194983,,,0.012679837,0.372899507,0.92194126,0.890423648,0.075254647,0.246068581,
119,VTSS,Vitesse Semiconductor Corp,NAS (USA),Semiconductors,364,0.765890186,0.626263316,0.120488692,,0.056678286,,0.164849484,0.316851736,0.887771745,0.377780627,0.2141504,,0.624901211,,0.962132478,0.241420801,0.060926376,0.63511455,0.186210741,0.022223621,0.424934064,0.257609094
120,SYBT,Stock Yards Bancorp Inc,NAS (USA),Banks,509,0.030497483,,0.455487826,0.597998627,0.176489203,,0.097787696,0.083733718,0.256747578,0.956627056,0.123469483,0.884940759,0.410162554,0.167682355,0.656161549,0.592526689,,0.686538108,0.181197797,,,0.416574991
121,CVGW,Calavo Growers Inc,NAS (USA),Consumer Packaged Goods,883,0.639549566,0.323376054,0.021552253,0.013232665,0.055416389,,0.21906943,0.718700933,0.641441524,0.188443628,0.222586488,0.174396593,0.734852193,,0.56688658,0.201344944,0.328493167,0.258505345,0.892598766,0.671842326,0.367224904,0.112944628
122,CIT,CIT Group Inc,NYSE (USA),Credit Services,8377,0.000612237,,0.222324736,0.156493373,0.490832407,,0.27835025,0.862288454,0.187704738,0.641643478,0.450135047,0.68003879,0.288084453,,0.089738523,0.027640275,,0.796264969,0.10204556,,,0.681151448
123,GAS,AGL Resources Inc,NYSE (USA),Utilities - Regulated,5989,0.53606987,,0.004513772,0.359032561,0.535520625,,0.950511329,0.586238448,0.556307734,0.488120602,0.285531227,0.74883358,0.564474722,0.124178656,0.008442645,0.492486286,0.115620008,0.112744914,0.02066417,0.67228905,0.457489483,0.086725339
124,TFSL,TFS Financial Corp,NAS (USA),Banks,4385,0.611520629,,0.136432637,0.325608526,0.338029094,,0.155154301,0.170392919,0.374104906,0.264948806,0.849162877,0.619642814,0.430056043,0.343896785,0.319020825,0.825904261,,0.228837899,0.205638946,,,0.334433443
125,SFXE,SFX Entertainment Inc,NAS (USA),Travel & Leisure,417,0.610695091,,,,0.016650034,,0.205701084,0.010634659,0.355164459,0.883603596,0.307063602,,0.214307588,,0.532721828,0.096909199,0.972587791,0.323570054,0.7722441,0.187452428,0.331924039,
126,MTSI,M/A-COM Technology Solutions Holdings Inc,NAS (USA),Semiconductors,1660,0.106453097,0.148833472,0.161813668,,0.036743757,,0.989619673,0.351057389,0.180757922,0.548300692,0.405539853,,0.438333804,,0.213987015,0.048543531,0.668607166,0.263610156,0.080311089,0.955786827,0.957753621,0.434726806
127,ICPT,Intercept Pharmaceuticals Inc,NAS (USA),Biotechnology,6535,0.158693633,,,,0.491983565,,0.408406565,0.257302387,0.2196046,0.337624663,0.019885717,,0.866047188,,0.887620265,0.652620376,0.650081302,0.031570178,0.259729197,0.624435768,0.352074378,0.00220022
128,GEVA,Synageva BioPharma Corp,NAS (USA),Biotechnology,3926,0.199859067,0.977558444,0.668324486,,0.075340579,,0.066992698,0.003358029,0.817513513,0.386753674,0.118333651,,0.933436242,,0.123373033,0.509377683,0.546241222,0.757491312,0.273113622,0.34880632,0.148454424,0.049321599
129,GPK,Graphic Packaging Holding Co,NYSE (USA),Packaging & Containers,4608,0.260735107,0.383562835,0.855823451,0.141815134,0.363930022,,0.526911162,0.100001353,0.182667417,0.644572543,0.286245497,0.625219458,0.723220719,,0.420961465,0.492530314,0.140387768,0.080837289,0.227103283,0.268772226,0.444305613,0.372387239
130,SMCI,Super Micro Computer Inc,NAS (USA),Communication Equipment,1620,0.371909929,0.29431183,0.328364308,0.174876761,0.370680001,,0.210184845,0.063363653,0.151296359,0.878273822,0.214823605,0.905544753,0.256783335,0.764482808,0.435162364,0.667861315,0.612334972,0.017880441,0.393891226,0.134752177,0.505695618,0.219655299
131,NVDA,NVIDIA Corp,NAS (USA),Semiconductors,12127,0.179354657,0.125986668,0.457580289,0.337281345,0.335639616,0.302448596,0.224471151,0.571723065,0.075382459,0.058393218,0.556810377,0.726185573,0.509924111,,0.076424735,0.076827448,0.286484369,0.934073322,0.320810178,0.957979046,0.29735029,0.726989366
132,GRC,Gorman-Rupp Co,AMEX (USA),Industrial Products,766,0.555957483,0.270868496,0.74777631,0.160192546,0.48775972,,0.246388491,0.056956604,0.0105477,0.040818137,0.931900474,0.181151968,0.561385911,0.476187017,0.899007636,0.322134736,0.439722214,0.4542026,0.012284708,0.321105205,0.423747615,0.36156949
133,RGLD,Royal Gold Inc,NAS (USA),Metals & Mining,4144,0.107938086,0.507651945,0.004417358,0.221290525,0.466706214,0.982677101,0.982279264,0.08276657,0.797440006,0.245783867,0.01147896,,0.183751298,0.683862402,0.794905941,0.113846942,0.889362277,0.092349139,0.093167747,0.145875091,0.518054029,0.098276494
134,WTR,Aqua America Inc,NYSE (USA),Utilities - Regulated,4746,0.198797618,,0.948227703,0.464319455,0.394933899,,0.231621469,0.671217513,0.158255018,0.243957074,0.324144792,0.175991537,0.937232231,0.430841029,0.312481487,0.567859661,0.174699119,0.584476289,0.581391092,0.003474754,0.238122329,0.235423542
135,ARMK,Aramark,NYSE (USA),Restaurants,7342,0.107474115,,,0.150990192,0.767938236,0.04351238,0.290651584,0.077934111,0.071155209,0.878481575,0.851325074,0.796902782,0.379636395,0.50442806,0.358033618,0.849299479,0.648567344,0.068284956,0.01322061,0.060873195,0.268765669,
136,KPTI,Karyopharm Therapeutics Inc.,NAS (USA),Drug Manufacturers,1172,0.445996603,,,,0.019646167,,0.469467697,0.803378317,0.152464216,0.250404913,0.570133996,,0.731491645,,0.207058774,0.170939597,0.201112977,0.478285634,0.328691679,0.754904744,0.281719287,
137,PENN,Penn National Gaming Inc,NAS (USA),Travel & Leisure,1278,0.043358962,0.51018304,0.383964229,,0.32125266,,0.070333827,0.817287124,0.253041395,0.66289374,0.588916065,,0.232781432,,0.914579998,0.345001119,0.347897951,0.109416573,0.140057387,0.393710522,0.548608816,0.366886689
138,SBH,Sally Beauty Holdings Inc,NYSE (USA),Retail - Apparel & Specialty,5135,0.051357377,0.886438565,0.059524581,0.702202337,0.238089531,0.653794394,,0.300570058,0.565272583,0.993643509,,0.040393959,0.155131811,0.652395202,0.627650166,0.047005329,0.600607799,0.280460827,0.316244458,0.130258087,0.541394537,0.306197286
139,BMI,Badger Meter Inc,NYSE (USA),Computer Hardware,894,0.05843924,0.171048818,0.875890683,0.644040897,0.62580313,,0.650494677,0.197548523,0.962647624,0.363393409,0.867182343,0.34865846,0.023056745,0.129960618,0.458181011,0.738043127,0.329766143,0.555492201,0.079243196,0.012519777,0.201714762,0.194169417
140,PCTY,Paylocity Holding Corp,NAS (USA),Application Software,1547,0.993490257,,,,0.109397327,,0.429299069,0.280013161,0.188626568,0.7199457,0.185740382,,0.539827958,,0.003586734,0.480167628,0.222985592,0.497471142,0.355387899,0.201106568,0.681756478,
141,CHDN,Churchill Downs Inc,NAS (USA),Travel & Leisure,2038,0.087853498,0.782374798,0.314476602,0.913974548,0.194415869,,0.369302468,0.480325591,0.833619349,0.30662307,0.704638335,,0.262205193,0.171749563,0.190955785,0.076044717,0.860506615,0.400645569,0.310325,0.754448009,0.185266269,0.174000733
142,RCAP,RCS Capital Corp,NYSE (USA),Brokers & Exchanges,631,0.488295684,,0.14218095,,0.955961701,,0.41027987,0.178650106,0.198868258,0.134893794,0.400885243,,0.818313414,,0.340228967,0.58998985,,0.322458518,0.30990138,,,0.210304364
143,SEIC,SEI Investments Company,NAS (USA),Asset Management,7558,0.326663113,0.179898575,0.266365474,0.893325154,0.13477889,,0.11753745,0.137186972,0.011251785,0.555487788,0.982028364,0.844956262,0.015435007,0.341251301,0.056461269,0.431280551,0.999421167,0.907317471,0.261449339,0.280048727,0.387140851,0.632563256
144,MDCA,MDC Partners Inc,NAS (USA),Advertising & Marketing Services,1418,0.188429086,0.556535763,0.485647083,,0.039086282,,,0.04081719,0.333498117,0.509675036,,,0.296977815,,0.660579115,0.479396416,0.248209743,0.877896917,0.067498123,0.316404208,0.264321482,0.934360103
145,REX,REX American Resources Corp,NYSE (USA),Conglomerates,506,0.354884783,0.17418341,0.28410238,0.117967288,0.192725219,,0.576569367,0.888087321,0.397072414,0.485742582,0.498053393,0.893792367,0.526703713,,0.130546078,0.459667228,0.078128635,0.178878848,0.203058574,0.137273873,0.048076816,0.975614228
146,NP,Neenah Paper Inc,NYSE (USA),Forest Products,1024,0.089817082,0.163402788,0.051228255,0.543655802,0.408803189,,0.508622249,0.145931428,0.606342068,0.509220313,0.047690922,0.108629985,0.828912059,,0.443470946,0.424717828,0.106549858,0.210510425,0.960683527,0.098039509,0.962662814,0.809314265
147,TRV,Travelers Companies Inc,NYSE (USA),Insurance - Property & Casualty,32741,0.81302979,,0.062029868,0.603109374,0.272584411,,0.315669701,0.295680678,0.365446009,0.041482222,0.066367478,0.611551454,0.747222684,0.337930629,0.967196074,0.683686938,,0.160635562,0.160705228,,,0.405207187
148,HRS,Harris Corporation,NYSE (USA),Communication Equipment,8530,0.181012879,0.821921912,0.480225096,0.076135003,0.835252442,,0.531047635,0.068295288,0.492468516,0.167923948,0.186788643,0.221941151,0.137496943,0.524548265,0.42980464,0.042546474,0.255122313,0.386997801,0.61336617,0.580014288,0.141247734,0.785478548
149,CMCSA,Comcast Corp,NAS (USA),Communication Services,150628,0.214717371,0.429424801,0.093620794,0.746870874,0.003823786,,0.974795592,0.068119226,0.798010975,0.574778463,0.932374701,0.946490963,0.010529301,0.253272965,0.313339303,0.403943163,0.248427488,0.027776734,0.403697547,0.518095457,0.281970804,0.387605427
150,CPN,Calpine Corp,NYSE (USA),Utilities - Independent Power Producers,8487,0.265536278,0.60443975,0.382193665,0.395027802,0.349563589,,0.528363633,0.682384078,0.53179414,0.115979911,0.527313077,0.251139655,0.08108844,,0.323110746,0.329893531,0.319202248,0.862341517,0.0745174,0.685678141,0.329620663,0.252108544
151,REXR,Rexford Industrial Realty Inc,NYSE (USA),REITs,879,0.154853491,,,0.850312812,0.211573651,,0.351453983,,0.120285758,0.955470463,0.497773384,,0.670811852,,0.5062133,0.34711244,0.247009183,0.181858513,0.03434405,0.527352314,0.661917905,0.453061973
152,AA,Alcoa Inc,NYSE (USA),Metals & Mining,16525,0.856783727,0.829908786,0.22387826,0.765008099,0.254713392,,0.084349396,0.060949409,0.134741965,0.842402522,0.748615085,0.244331376,0.723095743,,0.189572273,0.229198346,0.361441278,0.100433546,0.525641591,0.282318377,0.466711102,0.349101577
153,PEI,Pennsylvania Real Estate Investment Trust,NYSE (USA),REITs,1529,0.938039848,0.605333558,0.57940258,,0.871096045,,0.150143398,0.423631279,0.350426234,0.037195122,0.820419889,0.072515422,0.139720117,,0.051985781,0.488306259,0.540359223,0.138264469,0.238369141,0.127037381,0.479354221,0.46589659
154,MCY,Mercury General Corp,NYSE (USA),Insurance - Property & Casualty,3180,0.823694106,,0.068444676,0.871327883,0.981419614,,0.151561552,0.119673893,0.311521622,0.333001535,0.531205218,,0.398432164,,0.466258277,0.990517506,,0.195248555,0.117852404,,,0.053355336
155,PKG,Packaging Corp of America,NYSE (USA),Packaging & Containers,6789,0.077823004,0.096447297,0.150368641,0.393026422,0.120152106,,0.523574767,0.987451286,0.048055295,0.26911705,0.862248604,0.743719083,0.729327416,0.613130475,0.191249337,0.089221001,0.685421618,0.228754256,0.171381866,0.417007485,0.213221213,0.700403374
156,THOR,Thoratec Corp,NAS (USA),Medical Devices,2350,0.068232874,0.099405707,0.820508183,0.93203604,0.866631072,,0.341896805,0.738396679,0.246002427,0.101412076,0.135067871,0.4166231,0.601465083,0.545920238,0.45352777,0.582350181,0.139431518,0.594388557,0.493743047,0.262051929,0.285742698,0.134763476
157,WST,West Pharmaceutical Services Inc,NYSE (USA),Medical Instruments & Equipment,4045,0.577257895,0.263901524,0.887544139,0.431114658,0.261014649,,0.099941051,0.370284264,0.059443474,0.293330614,0.034408126,0.267124301,0.262357073,0.869468863,0.79020688,0.990084957,0.061852566,0.924272565,0.200259414,0.234101276,0.210164437,0.272827283
158,TIME,Time Inc,NYSE (USA),Publishing,2471,0.458123095,,,0.568408262,0.905141166,,0.26499983,0.277190516,0.036009497,0.11472315,0.040147196,0.105356554,0.625425225,0.59167519,0.318300842,0.8932607,0.143960867,0.177056015,0.552042041,0.297230976,0.940154705,
159,FFIC,Flushing Financial Corp,NAS (USA),Banks,596,0.371301076,,0.176261133,0.718872593,0.726718633,,0.000979257,0.054854144,0.357944492,0.151619553,0.131675141,0.39503807,0.398810198,0.427740163,0.202047185,0.687102867,,0.955636113,0.74359227,,,0.564539787
160,GLT,PH Glatfelter Co,NYSE (USA),Forest Products,1114,0.155224592,0.764823868,0.634897987,0.072073564,0.091475259,,0.721541729,0.593003223,0.255857393,0.465302696,0.890616733,0.053261686,0.30177978,,0.094404954,0.483120397,0.046343787,0.206399744,0.107794521,0.741995418,0.477806327,0.453061973
161,SWY,Safeway Inc,NYSE (USA),Retail - Defensive,8095,0.786619673,0.488733617,0.378389213,0.211418896,0.312568643,,0.015876614,0.055874902,,,0.709882875,,0.524226558,,,0.118865177,0.520400856,0.975339045,0.545208116,0.011220259,0.115244536,
162,HTLD,Heartland Express Inc,NAS (USA),Transportation & Logistics,2056,0.338600164,0.126832806,0.651627191,0.550589133,0.275421218,,0.493794545,0.424681812,0.170677772,0.604057005,0.29573373,0.125406291,0.950274133,0.669593355,0.185486003,0.852982323,0.312094837,0.045153725,0.351154533,0.486696565,0.476948893,0.103960396
163,EBSB,Meridian Bancorp Inc,NAS (USA),Banks,727,0.349994957,,0.366230356,0.697822695,0.653225873,,0.297749809,0.673441255,0.060527553,0.13819762,0.064476216,0.642427509,0.869537671,0.312220441,0.850107344,0.382051341,,0.325455088,0.261660105,,,0.109460946
164,BBT,BB&T Corp,NYSE (USA),Banks,27866,0.480757024,,0.361817933,0.861346958,0.027276667,,0.426284386,0.305083792,0.253283154,0.230718319,0.684794187,0.546984702,0.173772887,0.234962192,0.071860955,0.657470508,,0.923707398,0.585429435,,,0.405207187
165,NL,NL Industries Inc,NYSE (USA),Industrial Distribution,373,0.454941358,0.784729476,0.050741234,0.925154695,0.065058525,,0.739897323,0.098550381,0.784740028,0.226182405,0.836685471,0.655330869,0.586318401,,0.092156189,0.129028035,0.240128728,0.177234768,0.13835314,0.69229322,0.102587711,0.713971397
166,LPG,Dorian LPG Ltd,NYSE (USA),Transportation & Logistics,799,0.966270121,,,0.032131365,0.12722741,0.613376695,0.202470036,,0.25611267,0.297117142,0.258530057,0.564348319,,,0.157086556,0.036352381,,0.416897718,,,0.885118018,
167,DRC,Dresser-Rand Group Inc,NYSE (USA),Oil & Gas - Services,6327,0.221364457,0.901157364,0.714409985,0.93488373,0.145238412,,0.123922573,0.899509555,0.285955403,0.524620554,0.533279664,0.616846517,0.276722665,0.574859455,0.069633012,0.254683654,0.038752642,0.539820947,0.644979216,0.181299297,0.211620552,0.214888155
168,MRGE,Merge Healthcare Inc,NAS (USA),Application Software,542,0.922971389,0.133780361,0.307918822,,0.86983133,,0.147641266,0.169276575,0.18336889,0.251867247,0.470361255,0.545748169,0.930365126,,0.029620426,0.010569317,0.927271005,0.072025908,0.376828835,0.179222304,0.066658946,0.99119912
169,ALEX,Alexander & Baldwin Inc,NYSE (USA),Real Estate Services,2039,0.399566613,0.570303421,0.132854026,0.496195414,0.070857913,,0.656419414,0.955433246,0.576372277,0.24664144,0.217822948,0.056425894,0.237907041,0.643283598,0.849934703,0.605785106,0.36882203,0.210786655,0.008736573,0.377923255,0.019513381,0.781811514
170,BNCN,BNC Bancorp,NAS (USA),Banks,607,0.40601039,,0.108765216,0.461227704,0.682804672,,0.562896223,0.085105954,0.400785754,0.985170317,0.534917815,0.271206858,0.143270866,0.604353468,0.134843599,0.334864017,,0.427161325,0.353395094,,,0.355702237
171,NGVC,Natural Grocers by Vitamin Cottage Inc,NYSE (USA),Retail - Defensive,600,0.597362691,0.29517549,0.261071274,0.756310715,0.312444332,,0.008282079,0.084699035,0.460604397,0.490550082,0.755565151,0.568556409,0.730897209,0.24039927,0.881048348,0.242574495,0.591262935,0.581078539,0.22683726,0.346056504,0.181768205,0.134763476
172,DF,Dean Foods Co,NYSE (USA),Consumer Packaged Goods,1613,0.015123713,0.222757112,0.148484035,,0.444806005,,0.414574581,0.300839069,0.260841617,0.720053595,0.197003467,0.49169467,0.451016468,,0.248705371,0.650046323,0.179060579,0.998748181,0.764343817,0.81366106,0.172029299,0.101026769
173,GOV,Government Properties Income Trust,NYSE (USA),REITs,1571,0.697641885,0.346474278,0.336747202,0.319468487,0.586577429,,0.783167111,0.113885563,0.769571451,0.177323536,0.411015244,0.723426805,0.430706697,0.220566151,0.014957852,0.065767805,0.339159828,0.199866967,0.651239622,0.181219796,0.546510709,
174,FFIN,First Financial Bankshares Inc,NAS (USA),Banks,1856,0.282945892,,0.859144467,0.557026641,0.463406598,,0.19741801,0.125621361,0.413903084,0.799874916,0.976031428,0.04454959,0.305834895,0.030403328,0.572553963,0.254285694,,0.125182648,0.240103067,,,0.707004034
175,WR,Westar Energy Inc,NYSE (USA),Utilities - Regulated,4991,0.143297932,0.905786875,0.621348587,0.317822602,0.31185103,,0.279549556,0.1498564,0.044975543,0.824276316,0.027843773,0.066335636,0.737709854,0.440739762,0.619360019,0.474495247,0.111345066,0.188951648,0.929047159,0.100910271,0.923347904,0.098276494
176,RJET,Republic Airways Holdings Inc,NAS (USA),Airlines,660,0.277305051,0.236322168,0.577216217,0.919745886,0.059901649,,0.037081374,0.676125528,0.843180339,0.565266683,0.497047156,0.391920913,0.825592853,,0.202945393,0.081473637,0.602229204,0.348775164,0.00065858,0.670581898,0.044756649,0.663549688
177,BNNY,Annie's Inc,NYSE (USA),Consumer Packaged Goods,786,0.627831551,0.115060347,0.301720078,0.51088565,0.609667397,,0.263187538,0.108445194,,0.312362385,0.275350282,,0.761875372,0.14348514,,,0.462863107,0.238344601,0.316949424,0.634851064,0.831380337,
178,DNKN,Dunkin Brands Group Inc,NAS (USA),Restaurants,4637,0.11757486,0.852724724,0.644538276,0.241809374,0.188927086,,0.557811134,0.852872234,0.402923946,0.223800644,0.226483874,0.602761845,0.303421402,,0.845155952,0.144641686,0.263252631,0.050230477,0.480132567,0.080379753,0.688655136,0.079207921
179,INTU,Intuit Inc,NAS (USA),Application Software,26909,0.079062592,0.905438945,0.015310913,0.378587463,0.863508445,0.023910453,0.331797687,0.999929549,0.399825065,0.656278863,0.291070632,,0.084876071,0.597843254,0.035055091,0.271674848,0.65889778,0.733817661,0.146836378,0.157930602,0.39898485,0.355702237
180,NNBR,NN Inc,NAS (USA),Industrial Products,470,0.88878272,0.201576444,0.145122316,0.439060887,0.23694021,,0.666560296,0.21457711,0.111310929,0.024717312,0.521494566,0.008792616,0.695862347,,0.012967799,0.562581117,0.387562294,0.898869811,0.931915636,0.562222051,0.084130462,0.453061973
